4.0 3.7654 0.842118067731588 0.0,0.0306,0.3668,0.446,0.1238,0.0288,0.004
4.0 3.6344 0.8184965729922382 0.0,0.0458,0.419,0.4152,0.0982,0.0186,0.0032
3.0 3.5782 0.7840183416221798 0.0,0.0428,0.4608,0.389,0.091,0.0156,0.0008
4.0 3.6062 0.7835314671409394 0.0006,0.0368,0.4474,0.4062,0.089,0.02,0.0
3.0 3.5668 0.783797014538845 0.0,0.0318,0.4938,0.3752,0.0776,0.0182,0.0034
4.0 3.6904 0.8424653345984084 0.0,0.0432,0.3956,0.417,0.1202,0.0198,0.0042
4.0 3.8124 0.856274628842873 0.0,0.0276,0.3532,0.439,0.141,0.0378,0.0014
4.0 3.8364 0.8611823500281368 0.0004,0.021,0.3416,0.4666,0.1278,0.0344,0.0082
4.0 3.7042 0.7474639523080646 0.0006,0.0,0.444,0.427,0.1086,0.018,0.0018
4.0 3.7482 0.7681124657235989 0.0,0.0,0.4206,0.4386,0.1168,0.02,0.004
4.0 3.743 0.7650823485089682 0.0,0.0,0.4236,0.4368,0.1162,0.0198,0.0036
4.0 3.7282 0.775322358764386 0.0012,0.0,0.4332,0.4292,0.1122,0.0198,0.0044
4.0 3.7304 0.7449267346524588 0.0,0.0,0.4232,0.4468,0.1082,0.02,0.0018
4.0 4.2564 0.5380139775135753 0.0,0.0,0.0,0.7854,0.1804,0.0266,0.0076
