4.0 4.4884 0.9842080267910638 0.0004,0.0036,0.1348,0.4058,0.3144,0.1058,0.0352
4.0 4.3598 0.9547481133786087 0.0,0.0058,0.1588,0.4426,0.2824,0.0834,0.027
4.0 4.3574 0.9102006591955386 0.0,0.0046,0.1458,0.4616,0.279,0.0936,0.0154
4.0 4.3618 0.9073592232407331 0.0014,0.0044,0.133,0.477,0.2786,0.0876,0.018
4.0 4.3366 0.9211408361374672 0.0,0.008,0.1484,0.4656,0.2722,0.0886,0.0172
4.0 4.3772 0.9282888343613871 0.0,0.0054,0.1422,0.4552,0.2862,0.089,0.022
4.0 4.629 1.0034734675117025 0.0,0.005,0.0902,0.4058,0.3202,0.1274,0.0514
5.0 4.6258 0.9575877818769476 0.0008,0.0022,0.0842,0.4034,0.3404,0.1306,0.0384
4.0 4.3298 0.8941095905983879 0.0014,0.0,0.1452,0.4916,0.2626,0.081,0.0182
4.0 4.3348 0.8682793098997423 0.0,0.0,0.15,0.4688,0.2896,0.0796,0.012
4.0 4.3454 0.883684808062246 0.0,0.0,0.148,0.471,0.2856,0.0784,0.017
4.0 4.3512 0.8956888745541121 0.001,0.0,0.1468,0.469,0.282,0.0846,0.0166
4.0 4.3606 0.8868864865359117 0.0,0.0,0.1412,0.4772,0.278,0.087,0.0166
4.0 4.6356 0.7665589605503119 0.0,0.0,0.0,0.5148,0.3624,0.0952,0.0276
