4.0 4.5128 0.9688323694014062 0.0,0.004,0.1166,0.4246,0.3054,0.1162,0.0332
4.0 4.459 0.9659808486714467 0.0,0.0036,0.1378,0.4146,0.3178,0.0924,0.0338
4.0 4.4196 0.9094700874685188 0.0,0.0016,0.129,0.4558,0.2952,0.0986,0.0198
4.0 4.418 0.916338365452414 0.0004,0.004,0.1274,0.4506,0.3,0.0982,0.0194
4.0 4.3988 0.9181277471027403 0.0,0.0056,0.1376,0.439,0.3054,0.095,0.0174
4.0 4.4274 0.9240829183574542 0.0,0.0058,0.1218,0.4502,0.3104,0.085,0.0268
5.0 4.6586 1.002819046488471 0.0,0.0032,0.0976,0.3698,0.3462,0.1332,0.05
5.0 4.7124 0.9666882848157718 0.001,0.0032,0.0766,0.3496,0.3846,0.1412,0.0438
4.0 4.4198 0.934220509301739 0.001,0.0,0.1348,0.4554,0.285,0.0988,0.025
4.0 4.4418 0.9043300061371641 0.0,0.0,0.1262,0.445,0.3098,0.0988,0.0202
4.0 4.4502 0.9188688480953154 0.0,0.0,0.1236,0.4504,0.3052,0.0938,0.027
4.0 4.4668 0.9374954719890821 0.0004,0.0,0.1236,0.4456,0.297,0.1056,0.0278
4.0 4.4368 0.9160817430775129 0.0,0.0,0.1268,0.46,0.2822,0.1116,0.0194
4.0 4.6686 0.7901734240025996 0.0,0.0,0.0,0.5016,0.3594,0.1078,0.0312
