4.0 4.0804 1.164103019496125 0.0008,0.0492,0.2762,0.3796,0.1798,0.0656,0.0488
4.0 3.8202 1.1789283099493457 0.0,0.1,0.3322,0.3444,0.1342,0.0494,0.0398
4.0 3.8216 1.1455013924041948 0.0,0.0896,0.3378,0.353,0.1362,0.0478,0.0356
4.0 3.8436 1.1836971910078753 0.0006,0.09,0.3416,0.3352,0.1396,0.0516,0.0414
4.0 3.8326 1.1643784779873032 0.0,0.087,0.3504,0.3322,0.1414,0.0514,0.0376
4.0 3.8448 1.1661530602798484 0.0,0.0916,0.3346,0.3374,0.1442,0.0582,0.034
4.0 4.0878 1.2495163704409682 0.0,0.0604,0.2916,0.348,0.1674,0.065,0.0676
4.0 4.1406 1.2789181521895787 0.0008,0.0546,0.2846,0.3478,0.1672,0.0654,0.0796
((3.0 3.7062 0.8790230713695873 0.0008,0.0,0.5002,0.348,0.1068,0.0306,0.0136
((4.0 3.7444 0.8787881656007906 0.0,0.0,0.4686,0.3794,0.108,0.027,0.017
((4.0 3.753 0.8910617262569093 0.0,0.0,0.4706,0.3706,0.1096,0.0336,0.0156
((4.0 3.7488 0.9038244077252912 0.0,0.0,0.48,0.36,0.108,0.0352,0.0168
((4.0 3.7078 0.8574492171551766 0.0,0.0,0.4864,0.3744,0.0992,0.025,0.015
((4.0 4.2636 0.6054048562738711 0.0,0.0,0.0,0.8046,0.1452,0.0322,0.018
