5.0 4.9942 1.2394217845431181 0.0,0.009,0.099,0.265,0.2978,0.1742,0.155
5.0 4.7954 1.2905575694249567 0.0,0.0172,0.1414,0.2918,0.2648,0.148,0.1368
5.0 4.7866 1.2857139806348665 0.0,0.0168,0.1372,0.3068,0.2578,0.1446,0.1368
5.0 4.8138 1.2566342188560375 0.0006,0.0166,0.125,0.294,0.2792,0.1592,0.1254
5.0 4.8128 1.2989827404550331 0.0,0.0188,0.1376,0.2878,0.265,0.1494,0.1414
5.0 4.7954 1.2757503047226941 0.0,0.018,0.1344,0.2938,0.2738,0.148,0.132
5.0 5.0662 1.2982363267140409 0.0,0.0118,0.0998,0.2524,0.2716,0.1752,0.1892
5.0 5.0538 1.309085772590895 0.0014,0.0112,0.0968,0.2652,0.2682,0.1626,0.1946
((4.0 4.4514 1.125894328966994 0.001,0.0,0.201,0.376,0.2582,0.0942,0.0696
((4.0 4.5042 1.126047228139193 0.0,0.0,0.1836,0.3792,0.2614,0.101,0.0748
((4.0 4.4854 1.1204404669593493 0.0,0.0,0.19,0.3778,0.2586,0.104,0.0696
((4.0 4.4888 1.1227976487328257 0.0006,0.0,0.187,0.3808,0.2544,0.1084,0.0688
((4.0 4.4872 1.1195696315995454 0.0,0.0,0.1914,0.3726,0.2612,0.107,0.0678
((4.0 4.639 0.854563631334712 0.0,0.0,0.0,0.556,0.3038,0.0854,0.0548
