4.0 4.3964 1.1859456311315533 0.0008,0.0246,0.2046,0.3532,0.2456,0.1066,0.0646
4.0 4.1598 1.177057330804235 0.0,0.048,0.2538,0.366,0.2052,0.0766,0.0504
4.0 4.1546 1.1774119245192034 0.0,0.0456,0.2666,0.3524,0.2058,0.0822,0.0474
4.0 4.1562 1.1928962905466387 0.0008,0.05,0.262,0.3478,0.2058,0.086,0.0476
4.0 4.1648 1.217555321125088 0.0,0.0536,0.259,0.3502,0.2022,0.0762,0.0588
4.0 4.2048 1.179685110527377 0.0,0.0416,0.2496,0.3586,0.2154,0.0822,0.0526
4.0 4.4008 1.2554518549112144 0.0,0.0386,0.2024,0.3468,0.2256,0.105,0.0816
4.0 4.445 1.2578453800050193 0.0012,0.0306,0.1972,0.347,0.2294,0.1062,0.0884
((4.0 3.9736 0.9562965230513387 0.0012,0.0,0.3508,0.412,0.1648,0.0504,0.0208
((4.0 4.0056 0.9668343394811967 0.0,0.0,0.3396,0.4138,0.1744,0.0458,0.0264
((4.0 3.9918 0.951069271925023 0.0,0.0,0.3408,0.4192,0.1704,0.0466,0.023
((4.0 4.008 0.974030800334341 0.0,0.0,0.3374,0.4208,0.1676,0.0448,0.0294
((4.0 3.9794 0.9398806519978745 0.0,0.0,0.3406,0.4296,0.161,0.0474,0.0214
((4.0 4.3592 0.6691601900890142 0.0,0.0,0.0,0.7272,0.2088,0.0416,0.0224
