5.0 5.0718 1.2410659772953623 0.0,0.0088,0.0884,0.2502,0.296,0.188,0.1686
5.0 4.9232 1.3106112161888432 0.0,0.0116,0.1306,0.2758,0.25,0.169,0.163
5.0 4.91 1.2832380917039303 0.0,0.0126,0.1172,0.2896,0.2644,0.1606,0.1556
5.0 4.9428 1.2945764403850637 0.0004,0.0136,0.1144,0.2762,0.2684,0.1638,0.1632
5.0 4.9436 1.3266570920927627 0.0,0.0182,0.1178,0.2738,0.256,0.1608,0.1734
5.0 4.9354 1.2997025967504863 0.0,0.0124,0.1194,0.2798,0.2638,0.158,0.1666
5.0 5.1568 1.308821515715558 0.0,0.0114,0.089,0.24,0.2656,0.179,0.215
5.0 5.151 1.3265741592538445 0.0014,0.01,0.0944,0.2376,0.2646,0.171,0.221
((4.0 4.5554 1.1505350233695641 0.0004,0.0,0.172,0.3784,0.2544,0.1102,0.0846
((4.0 4.5944 1.149212182323178 0.0,0.0,0.1632,0.3696,0.263,0.118,0.0862
((4.0 4.5818 1.160736300802197 0.0,0.0,0.1724,0.3644,0.2608,0.1138,0.0886
((4.0 4.6112 1.146313464982396 0.0,0.0,0.1604,0.3592,0.2758,0.118,0.0866
((4.0 4.6148 1.1598366091825303 0.0,0.0,0.1614,0.3634,0.266,0.1174,0.0918
((4.0 4.6876 0.8888229519989086 0.0,0.0,0.0,0.5368,0.302,0.098,0.0632
