4.0 3.9794 0.8481601499716716 0.001,0.02,0.2434,0.5218,0.1706,0.0344,0.0088
4.0 3.9098 0.8440758022831876 0.0,0.0194,0.2988,0.4784,0.1638,0.0352,0.0044
4.0 3.871 0.8282264183180797 0.0,0.0232,0.3028,0.4932,0.1454,0.0314,0.004
4.0 3.891 0.8160386020281011 0.0002,0.015,0.303,0.4984,0.1452,0.0352,0.003
4.0 3.8712 0.8540553612032536 0.0,0.0212,0.3186,0.4752,0.1458,0.0312,0.008
4.0 3.9336 0.8371326298741287 0.0,0.0184,0.284,0.4852,0.175,0.0328,0.0046
4.0 4.102 0.9077422541668955 0.0,0.0142,0.2298,0.4784,0.2062,0.0602,0.0112
4.0 4.1338 0.8792596658552957 0.0008,0.0116,0.2012,0.5048,0.2114,0.0614,0.0088
4.0 3.9192 0.7865566476738749 0.0008,0.0,0.3106,0.4914,0.1648,0.0298,0.0026
4.0 3.9716 0.7964881920028511 0.0,0.0,0.2786,0.5174,0.1648,0.0322,0.007
4.0 3.974 0.7978245421143325 0.0,0.0,0.2758,0.5238,0.1574,0.0366,0.0064
4.0 3.9696 0.7989216732571484 0.0002,0.0,0.28,0.5172,0.161,0.0356,0.006
4.0 3.9588 0.7698717815324893 0.0,0.0,0.2718,0.5398,0.15,0.0346,0.0038
4.0 4.3668 0.616650435822452 0.0,0.0,0.0,0.6966,0.2506,0.0422,0.0106
